Type,X,Y,Z,U,V,W,Energy,Weight,Cell,Material,Time
1000,0.0,0.0,0.0,0.5084767248040969,0.4732778434307386,0.7193465807592665,14.0,1.0,30.0,6.0,0.0
3000,26.15378917613522,24.343314718274275,37.0,0.5084767248040969,0.4732778434307386,0.7193465807592665,14.0,1.0,20.0,1.0,1.0049448587218393
4000,28.567735930838523,26.59015800232582,40.41503211341633,0.5084767248040969,0.4732778434307386,0.7193465807592665,14.0,1.0,20.0,1.0,1.0976994253366426
5000,28.567735930838523,26.59015800232582,40.41503211341633,0.5084767248040969,0.4732778434307386,0.7193465807592665,14.0,1.0,20.0,1.0,1.0976994253366426
2000,28.567735930838523,26.59015800232582,40.41503211341633,0.642856370810797,-0.7253814472074853,0.24608421841951877,2.4291365956879014,1.0,20.0,1.0,1.0976994253366426
4000,42.257788340217694,11.142679405299527,45.65555861397091,0.9570266278037417,-0.28522811850171825,-0.052392309460151276,1.2747845977230179,1.0,20.0,1.0,1.1687340998415632
4000,44.316991254312214,10.52896338556002,45.54282779417745,0.5146058939309042,0.184133329547994,0.8374220506298747,0.5013024176989834,1.0,20.0,1.0,1.175911288445149
4000,45.7873967077314,11.055095431688425,47.9356296734054,-0.7533330895411703,0.6556655919821606,0.050910585274952375,0.22333075215702006,1.0,20.0,1.0,1.1854423568163968
4000,38.756944116410445,17.17406979268263,48.4107507866834,-0.7173095343994648,0.6690974200742497,0.19435965195895524,0.22225954616309826,1.0,20.0,1.0,1.2165720955929538
4000,36.25901371582921,19.504108229928843,49.087581164633306,0.3082462648784441,-0.7040990671169066,0.6397098903984446,0.13196578832602543,1.0,20.0,1.0,1.2281879983134423
4000,37.24613241372778,17.249322256778058,51.13616914766034,0.6147488068569695,0.29516927342247756,-0.7314089174293539,0.0951975501288861,1.0,20.0,1.0,1.2388699544863166
4000,42.338193072448775,19.694255582541402,45.07779451994633,0.02599767663255686,-0.8607307377131477,-0.5083962214311688,0.08587928163079313,1.0,20.0,1.0,1.2664995871007476
4000,42.68233085853007,8.30054626477172,38.34802583452771,0.7826464388043559,0.6171141676706993,0.08145339702529256,0.0692256552038781,1.0,20.0,1.0,1.3106542993768229
4000,45.10168529048812,10.208199353769459,38.5998185052926,-0.40543610745159514,-0.8954383928896055,0.1838794368976031,0.05585204390243458,1.0,20.0,1.0,1.3209655921776056
4000,44.43627170061022,8.738579690951676,38.90160681166679,-0.7188770680368756,-0.08628113679518812,-0.6897617896665746,0.05046764422316713,1.0,20.0,1.0,1.326440142837133
4000,43.63516617433065,8.642429321752859,38.13294690291861,-0.3191560051944361,0.2614076099884714,-0.9109366090944226,0.049846907221124524,1.0,20.0,1.0,1.3301573291889626
4000,43.34747629058162,8.878064320639622,37.31182104939299,0.7221400427207152,-0.0922763362227243,0.6855646114500332,0.042068726116481214,1.0,20.0,1.0,1.3331641033296473
4000,43.99836753565127,8.79489228222421,37.92974551988933,-0.2699960006023376,0.1951148265369936,-0.9428851277457833,0.03621187693491689,1.0,20.0,1.0,1.3361706381563143
4000,43.982647562969625,8.806252449545585,37.874847934676865,-0.2699960006023376,0.1951148265369936,-0.9428851277457833,0.03621187693491689,1.0,20.0,1.0,1.336364849097135
5000,43.982647562969625,8.806252449545585,37.874847934676865,-0.2699960006023376,0.1951148265369936,-0.9428851277457833,0.03621187693491689,1.0,20.0,1.0,1.336364849097135
2000,43.982647562969625,8.806252449545585,37.874847934676865,-0.7687911986456496,-0.6073862326258825,0.2001051156305681,0.03621187693491689,1.0,20.0,1.0,1.336364849097135
5000,43.9817833455265,8.805030881928719,37.875197402456294,-0.8651004498517603,0.5015671553439002,-0.005621418549630525,0.0009500411911578257,1.0,20.0,1.0,1.3364063603176597
2000,43.981398357162085,8.805442629506258,37.87563985396628,-0.23698568568918693,-0.5116585648334877,-0.8258591270979342,0.003463885711907362,1.0,20.0,1.0,1.3363847970359297
5000,43.981406777666095,8.805406274279722,37.87562245100582,-0.5628181645921301,-0.5822770510709561,0.5866763583111709,0.0009712060795994431,1.0,20.0,1.0,1.3363865563139838
2000,43.99836753565127,8.79489228222421,37.92974551988933,0.531912944292951,-0.14500927107302983,0.8342906753622941,0.005856849181564323,1.0,20.0,1.0,1.3361706381563143
5000,43.9983194187212,8.794924470677984,37.929837617750124,-0.47009384697347933,-0.8185656471428913,0.3300940113895053,0.0007786268344142189,1.0,20.0,1.0,1.3361748203150623
2000,43.34747629058162,8.878064320639622,37.31182104939299,-0.5194251263276394,0.18978120584186398,-0.8331750308600973,0.00777818110464331,1.0,20.0,1.0,1.3331641033296473
5000,43.34742672498963,8.87808607868647,37.31165311353999,-0.4641233392211699,-0.49159527070065534,-0.7368335061701119,0.0008636826015167196,1.0,20.0,1.0,1.3331697966787681
2000,44.43627170061022,8.738579690951676,38.90160681166679,0.20787274186053417,-0.6960445382710022,0.6872488078814626,0.005384399679267453,1.0,20.0,1.0,1.326440142837133
5000,44.43627533994279,8.738586505806643,38.90164548539144,-0.7693926463667442,-0.5484232311828569,-0.32751628236735536,0.0008913604721384926,1.0,20.0,1.0,1.3264430777515912
2000,44.43627701281485,8.738564976562698,38.90163951430214,0.7486647460549845,-0.637435341035741,-0.18214632582919238,0.0010042627573788134,1.0,20.0,1.0,1.3264410986526887
5000,44.4362774109735,8.738564646730966,38.901639386805236,0.7440207694364512,-0.599094474151265,-0.29583594387533485,0.0009707624694853165,1.0,20.0,1.0,1.3264411270784193
2000,45.10168529048812,10.208199353769459,38.5998185052926,0.6374894367876954,0.7694999879843973,-0.0384315817540678,0.013373611301443523,1.0,20.0,1.0,1.3209655921776056
5000,45.101735118516096,10.208260823055632,38.599808724683626,0.5019713357168688,-0.0681050423235022,-0.8621986321774913,0.0009693484858446303,1.0,20.0,1.0,1.3209735421790907
2000,42.68233085853007,8.30054626477172,38.34802583452771,-0.3795305490568218,-0.8521853649455116,-0.360189764020735,0.016653626426915022,1.0,20.0,1.0,1.3106542993768229
5000,42.682429410973874,8.300082499199283,38.34782947854686,0.5840319332556663,-0.7599652710042412,-0.28523584593297446,0.000992988048452481,1.0,20.0,1.0,1.3106653088626932
2000,42.682312851692146,8.30033219918653,38.347936842397395,0.33187194292393535,-0.5384948535424418,0.7745219856196441,0.005629594460113616,1.0,20.0,1.0,1.3106580015666585
5000,42.68233320769739,8.300356356966772,38.347954142546016,0.06707574987521805,-0.3249094302574591,-0.9433635067716214,0.0008234646324034151,1.0,20.0,1.0,1.3106611950553866
2000,42.68232736705873,8.300538425137237,38.348022520980905,0.7571693308917258,-0.5231719362717138,0.3911339022057309,0.00172199302697,1.0,20.0,1.0,1.3106544224896675
4000,42.68465589390481,8.298929511715865,38.34922537713809,0.7571693308917258,-0.5231719362717138,0.3911339022057309,0.00172199302697,1.0,20.0,1.0,1.310664680602484
5000,42.68465589390481,8.298929511715865,38.34922537713809,0.7571693308917258,-0.5231719362717138,0.3911339022057309,0.00172199302697,1.0,20.0,1.0,1.310664680602484
2000,42.68465589390481,8.298929511715865,38.34922537713809,0.02204607505530516,-0.7715833144562938,-0.6357461438556242,0.00172199302697,1.0,20.0,1.0,1.310664680602484
5000,42.684660309955376,8.29892937358007,38.34921616381749,-0.2941803613891226,0.853921524206853,-0.4292737418818099,0.000989328470545968,1.0,20.0,1.0,1.3106653843945801
2000,42.338193072448775,19.694255582541402,45.07779451994633,0.47153491452220586,0.8545971523082985,-0.21752823185297804,0.009318268498092974,1.0,20.0,1.0,1.2664995871007476
5000,42.33827249817293,19.694362411217977,45.077703532690386,0.2556502101500471,0.9079231565196295,0.3321423067085394,0.000990314894282048,1.0,20.0,1.0,1.2665051856164564
2000,42.338210349855345,19.694273301410902,45.07778486561195,0.867038560185438,-0.4708108195465158,-0.16303774823488373,0.0010083563805516735,1.0,20.0,1.0,1.2665000728661413
5000,42.33821054881865,19.694272165404794,45.07778494390362,-0.1711848002603791,-0.9740816448224743,-0.14785368909755975,0.0009919293417510302,1.0,20.0,1.0,1.2665001438833439
2000,37.24613241372778,17.249322256778058,51.13616914766034,-0.09071605991042164,-0.6152067008845514,0.7831291794212977,0.03676823819713933,1.0,20.0,1.0,1.2388699544863166
5000,37.24719179512316,17.248967534040514,51.13761228177244,0.13889144004755444,0.8114903132956929,-0.5676201540720477,0.0009910409281153431,1.0,20.0,1.0,1.2388996572418416
2000,37.24716776235938,17.24894206963458,51.137621604304584,0.6863655901729695,-0.6194934756187367,-0.380959460169096,0.0011631478739825838,1.0,20.0,1.0,1.2388968070279303
5000,37.247167971423046,17.248941880939842,51.13762148826616,0.5927926423909169,0.6101645185818287,-0.5256387955535623,0.0009667223467901178,1.0,20.0,1.0,1.2388968221121932
2000,37.24678856998034,17.24895575276603,51.13728966034665,0.925243648372472,-0.34212229595668225,-0.16394061655284115,0.003244987466660665,1.0,20.0,1.0,1.2388849639166093
5000,37.246821981794795,17.24894547606711,51.13729436799549,-0.4906508944931445,0.7694313384417782,-0.408946347528341,0.0009784960570981191,1.0,20.0,1.0,1.2388864341624088
